id,category,subCategory,images
5ff0b509fc13ae631b000000,QuanAo,Shirt,assets/shop/clothing.jpg
5ff0b509fc13ae631b000001,QuanAo,T-Shirt,assets/shop/clothing.jpg
5ff0b509fc13ae631b000002,QuanAo,Zeans,assets/shop/clothing.jpg
5ff0b509fc13ae631b000003,PhuKien,DongHo,assets/shop/accessories.png
5ff0b509fc13ae631b000004,PhuKien,TuiXach,assets/shop/accessories.png
5ff0b509fc13ae631b000005,PhuKien,Wallets,assets/shop/accessories.png
5ff0b509fc13ae631b000006,PhuKien,Sunglasses,assets/shop/accessories.png
5ff0b509fc13ae631b00000b,Giay,Giay the thao,assets/shop/shoes.jpg
5ff0b509fc13ae631b00000c,Giay,Giay dep,assets/shop/shoes.jpg
5ff0b509fc13ae631b00000d,Giay,Giay Kieu,assets/shop/shoes.jpg
